Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
1,17.3,1080,6,1.8,8,3,1,6,2.1,69233.11
1,17.3,1080,6,2.7,8,3,1,8,2.69,53753.92
3,15.6,1080,5,2.5,8,1,1,6,2.56,53149.26
4,13.9,1080,6,2.7,8,1,0,6,1.38,65242.38
1,15.6,1080,6,1.8,8,3,1,6,2.2,59558.62
1,15.6,768,5,2.5,8,0,0,6,2.04,33800.27
3,17.3,1080,6,2.9,16,1,1,6,3.6,181336.33
1,13.3,1080,5,1.6,4,0,0,6,1.49,40814.28
2,13.3,1600,5,3.1,8,1,0,0,1.37,123349.82
4,15.6,1080,6,1.8,8,0,0,6,2.08,49521.33
3,17.3,1080,6,2.8,16,3,1,6,4.3,108777.61
1,15.6,768,11,3,4,0,1,6,1.68,28358.37
4,13.9,1080,6,1.8,8,1,0,6,1.37,111800.89
1,17.3,1080,4,2.7,4,1,1,6,3,42446.85
2,13.3,1080,5,1.6,8,1,0,6,1.41,57381.85
1,15.6,768,9,2.5,8,1,1,6,1.91,26961.61
1,17.3,1080,6,1.8,16,0,1,6,2.9,64033.07
3,17.3,1080,6,2.8,16,3,1,6,4.14,151103.53
4,15.6,1080,6,2.8,8,1,1,6,2,102731.05
1,17.3,1080,6,1.8,8,3,1,6,2.8,69051.72
1,15.6,1080,4,2,4,1,0,8,2.2,26846.73
1,15.6,1080,5,1.6,4,0,0,6,2.1,43656.16
1,15.6,1080,5,2.5,4,0,0,6,2.18,39725.9
1,15.6,1080,5,2.5,8,0,1,6,2.24,34163.06
4,15.6,1080,5,1.6,8,1,0,6,2.67,48312.01
4,13.3,1080,6,1.8,8,3,0,6,1.1,90637.93
1,15.6,1080,5,2.5,4,0,0,8,2.2,28237.44
1,17.3,1080,6,1.8,8,0,1,6,2.5,61553.98
1,15.6,1080,6,1.8,8,1,0,6,2.05,53209.73
2,13.3,1600,5,2.9,8,1,0,0,1.37,118446.06
3,17.3,1080,16,3,16,3,1,6,3.2,93661.21
1,15.6,1080,6,1.8,8,1,1,2,2.14,44446.45
4,14,1440,6,2.6,16,1,0,6,1.36,151103.53
1,15.6,768,6,2.5,8,0,1,6,2.2,49098.07
1,15.6,768,6,2.7,12,0,0,6,2.3,43116.21
1,17.3,1080,6,1.8,8,3,1,2,2.8,66451.69
1,15.6,1080,6,1.8,8,0,1,6,2.2,45046.87
1,17.3,900,4,2,4,0,0,6,2.8,29567.68
1,17.3,1080,6,1.8,8,0,1,8,2.8,51335.29
1,17.3,900,6,2.7,6,3,1,6,2.8,51939.95
1,15.6,1080,4,2,4,0,1,2,2.25,25879.28
3,15.6,1080,5,2.5,8,1,1,6,2.5,50125.98
1,15.6,1080,5,2.5,6,1,0,6,2.2,35009.58
1,15.6,1080,6,1.8,8,1,1,6,3,57502.79
1,15.6,1080,6,2.7,12,0,0,6,2.15,39846.83
1,15.6,1080,6,2.7,8,1,0,6,1.95,66330.76
2,15.6,1080,5,2.5,8,1,1,6,1.7,59074.89
3,15.6,1080,6,2.8,16,3,1,6,2.5,71288.94
1,15.6,1080,6,2.7,8,0,1,8,2.2,39847.44
1,15.6,768,1,1.5,2,1,0,3,2.19,12032.65
3,17.3,1080,6,2.8,8,0,1,6,3,71772.67
1,17.3,900,4,2,8,0,0,6,2.54,29567.68
1,15.6,1080,6,2.8,8,1,1,6,2,110591.58
1,15.6,1080,5,1.6,8,1,0,6,2.05,44684.08
